zip,pct_elevated_bll,total
21201,13.3,189
21202,14.1,242
21203,NA,2
21204,0.1,1
21205,35.9,392
21206,18.7,746
21207,3.5,137
21208,0.9,28
21209,6.3,164
21210,5,58
21211,15.4,191
21212,8.6,229
21213,24.2,539
21214,12.6,214
21215,19.3,806
21216,19.4,423
21217,19.1,475
21218,15,540
21219,0,0
21220,0.1,4
21221,0.1,3
21222,1.1,50
21223,24.4,386
21224,40,1504
21225,13.2,384
21226,5.9,31
21227,0.1,3
21228,0.1,4
21229,16.6,592
21230,20.8,558
21231,18.9,220
21234,1.7,88
21236,0.2,7
21237,0.2,4
21239,11.5,275
21240,NA,0
21242,NA,0
21244,0.2,6
21251,0,0
21254,NA,0
21270,NA,0
21275,NA,0
21286,0,0
21287,Inf,2
