zip,year,total,total_allyears,appearances
21201,2000,817,8856,22
21202,2000,2476,11635,22
21203,2000,4,201,22
21205,2000,1098,14330,22
21206,2000,594,21819,22
21207,2000,171,6695,22
21208,2000,14,1375,21
21209,2000,133,7609,22
21210,2000,247,3749,22
21211,2000,427,7320,22
21212,2000,545,11612,22
21213,2000,676,21534,22
21214,2000,166,8848,22
21215,2000,1604,35974,22
21216,2000,638,21496,22
21217,2000,1312,28013,22
21218,2000,933,23371,22
21220,2000,1,859,21
21222,2000,15,1191,22
21223,2000,1335,21097,22
21224,2000,890,29338,22
21225,2000,240,15487,22
21226,2000,28,1809,22
21227,2000,2,397,22
21228,2000,2,925,22
21229,2000,1182,22830,22
21230,2000,472,16989,22
21231,2000,110,8284,22
21234,2000,66,4075,22
21236,2000,1,885,22
21237,2000,1,348,21
21239,2000,362,11056,22
21244,2000,1,411,21
21251,2000,1,20,17
21270,2000,2,11,9
21275,2000,2,20,14
21286,2000,1,79,18
21287,2000,1376,1494,21
21201,2001,823,8856,22
21202,2001,1108,11635,22
21203,2001,3,201,22
21205,2001,486,14330,22
21206,2001,818,21819,22
21207,2001,396,6695,22
21209,2001,140,7609,22
21210,2001,239,3749,22
21211,2001,272,7320,22
21212,2001,477,11612,22
21213,2001,893,21534,22
21214,2001,267,8848,22
21215,2001,1679,35974,22
21216,2001,961,21496,22
21217,2001,1983,28013,22
21218,2001,957,23371,22
21219,2001,62,125,16
21220,2001,346,859,21
21221,2001,530,983,20
21222,2001,3,1191,22
21223,2001,1181,21097,22
21224,2001,1184,29338,22
21225,2001,747,15487,22
21226,2001,73,1809,22
21227,2001,1,397,22
21228,2001,540,925,22
21229,2001,1209,22830,22
21230,2001,558,16989,22
21231,2001,307,8284,22
21233,2001,3,52,18
21234,2001,1,4075,22
21235,2001,2,30,12
21236,2001,446,885,22
21239,2001,523,11056,22
21240,2001,3,17,13
21244,2001,2,411,21
21251,2001,2,20,17
21275,2001,1,20,14
21278,2001,1,13,9
21280,2001,1,10,7
21281,2001,2,9,6
21285,2001,3,10,5
21286,2001,1,79,18
21287,2001,2,1494,21
21288,2001,1,12,10
21201,2002,684,8856,22
21202,2002,482,11635,22
21203,2002,17,201,22
21204,2002,59,60,4
21205,2002,607,14330,22
21206,2002,295,21819,22
21207,2002,112,6695,22
21208,2002,20,1375,21
21209,2002,237,7609,22
21210,2002,162,3749,22
21211,2002,294,7320,22
21212,2002,536,11612,22
21213,2002,1153,21534,22
21214,2002,363,8848,22
21215,2002,1641,35974,22
21216,2002,1297,21496,22
21217,2002,1465,28013,22
21218,2002,1233,23371,22
21219,2002,4,125,16
21220,2002,4,859,21
21221,2002,20,983,20
21222,2002,3,1191,22
21223,2002,1074,21097,22
21224,2002,1335,29338,22
21225,2002,402,15487,22
21226,2002,38,1809,22
21227,2002,1,397,22
21228,2002,31,925,22
21229,2002,1032,22830,22
21230,2002,700,16989,22
21231,2002,454,8284,22
21233,2002,3,52,18
21234,2002,62,4075,22
21236,2002,25,885,22
21237,2002,1,348,21
21239,2002,524,11056,22
21244,2002,1,411,21
21251,2002,1,20,17
21270,2002,2,11,9
21273,2002,2,14,13
21275,2002,4,20,14
21278,2002,2,13,9
21283,2002,1,7,3
21287,2002,5,1494,21
21289,2002,1,5,4
21297,2002,1,9,5
21201,2003,373,8856,22
21202,2003,439,11635,22
21203,2003,10,201,22
21205,2003,653,14330,22
21206,2003,877,21819,22
21207,2003,248,6695,22
21208,2003,22,1375,21
21209,2003,196,7609,22
21210,2003,148,3749,22
21211,2003,292,7320,22
21212,2003,528,11612,22
21213,2003,1081,21534,22
21214,2003,376,8848,22
21215,2003,1605,35974,22
21216,2003,1119,21496,22
21217,2003,1533,28013,22
21218,2003,1115,23371,22
21220,2003,1,859,21
21221,2003,6,983,20
21222,2003,35,1191,22
21223,2003,1005,21097,22
21224,2003,1065,29338,22
21225,2003,461,15487,22
21226,2003,62,1809,22
21227,2003,9,397,22
21228,2003,21,925,22
21229,2003,947,22830,22
21230,2003,653,16989,22
21231,2003,399,8284,22
21233,2003,4,52,18
21234,2003,123,4075,22
21235,2003,2,30,12
21236,2003,4,885,22
21237,2003,7,348,21
21239,2003,443,11056,22
21244,2003,2,411,21
21251,2003,1,20,17
21252,2003,1,14,8
21270,2003,1,11,9
21275,2003,1,20,14
21281,2003,2,9,6
21286,2003,1,79,18
21287,2003,1,1494,21
21288,2003,1,12,10
21290,2003,2,6,5
21201,2004,396,8856,22
21202,2004,479,11635,22
21203,2004,13,201,22
21205,2004,783,14330,22
21206,2004,1140,21819,22
21207,2004,418,6695,22
21208,2004,57,1375,21
21209,2004,266,7609,22
21210,2004,207,3749,22
21211,2004,323,7320,22
21212,2004,599,11612,22
21213,2004,1238,21534,22
21214,2004,456,8848,22
21215,2004,1810,35974,22
21216,2004,1200,21496,22
21217,2004,1591,28013,22
21218,2004,1452,23371,22
21219,2004,1,125,16
21220,2004,1,859,21
21221,2004,3,983,20
21222,2004,37,1191,22
21223,2004,1193,21097,22
21224,2004,1222,29338,22
21225,2004,700,15487,22
21226,2004,85,1809,22
21227,2004,7,397,22
21228,2004,6,925,22
21229,2004,1226,22830,22
21230,2004,780,16989,22
21231,2004,451,8284,22
21233,2004,3,52,18
21234,2004,183,4075,22
21235,2004,2,30,12
21236,2004,1,885,22
21237,2004,2,348,21
21239,2004,612,11056,22
21244,2004,2,411,21
21250,2004,1,23,12
21251,2004,3,20,17
21263,2004,2,8,7
21268,2004,2,3,2
21287,2004,6,1494,21
21288,2004,1,12,10
21201,2005,374,8856,22
21202,2005,376,11635,22
21203,2005,13,201,22
21205,2005,703,14330,22
21206,2005,1103,21819,22
21207,2005,326,6695,22
21208,2005,49,1375,21
21209,2005,334,7609,22
21210,2005,192,3749,22
21211,2005,327,7320,22
21212,2005,596,11612,22
21213,2005,1128,21534,22
21214,2005,452,8848,22
21215,2005,1741,35974,22
21216,2005,1144,21496,22
21217,2005,1490,28013,22
21218,2005,1236,23371,22
21220,2005,2,859,21
21221,2005,4,983,20
21222,2005,28,1191,22
21223,2005,1094,21097,22
21224,2005,1222,29338,22
21225,2005,649,15487,22
21226,2005,71,1809,22
21227,2005,7,397,22
21228,2005,10,925,22
21229,2005,1099,22830,22
21230,2005,811,16989,22
21231,2005,395,8284,22
21233,2005,5,52,18
21234,2005,180,4075,22
21235,2005,1,30,12
21236,2005,1,885,22
21237,2005,6,348,21
21239,2005,646,11056,22
21244,2005,8,411,21
21250,2005,1,23,12
21251,2005,1,20,17
21260,2005,1,2,2
21264,2005,1,7,5
21270,2005,1,11,9
21273,2005,1,14,13
21274,2005,1,4,4
21278,2005,1,13,9
21279,2005,1,3,3
21280,2005,3,10,7
21286,2005,1,79,18
21287,2005,7,1494,21
21288,2005,1,12,10
21201,2006,407,8856,22
21202,2006,442,11635,22
21203,2006,9,201,22
21205,2006,714,14330,22
21206,2006,1110,21819,22
21207,2006,327,6695,22
21208,2006,28,1375,21
21209,2006,368,7609,22
21210,2006,189,3749,22
21211,2006,352,7320,22
21212,2006,639,11612,22
21213,2006,1114,21534,22
21214,2006,484,8848,22
21215,2006,1921,35974,22
21216,2006,1156,21496,22
21217,2006,1529,28013,22
21218,2006,1221,23371,22
21222,2006,48,1191,22
21223,2006,1072,21097,22
21224,2006,1210,29338,22
21225,2006,738,15487,22
21226,2006,81,1809,22
21227,2006,6,397,22
21228,2006,9,925,22
21229,2006,1138,22830,22
21230,2006,810,16989,22
21231,2006,411,8284,22
21233,2006,5,52,18
21234,2006,216,4075,22
21235,2006,2,30,12
21236,2006,4,885,22
21237,2006,3,348,21
21239,2006,590,11056,22
21251,2006,1,20,17
21252,2006,1,14,8
21274,2006,1,4,4
21278,2006,3,13,9
21279,2006,1,3,3
21288,2006,2,12,10
21297,2006,1,9,5
21201,2007,371,8856,22
21202,2007,444,11635,22
21203,2007,7,201,22
21205,2007,704,14330,22
21206,2007,1157,21819,22
21207,2007,382,6695,22
21208,2007,33,1375,21
21209,2007,333,7609,22
21210,2007,193,3749,22
21211,2007,301,7320,22
21212,2007,623,11612,22
21213,2007,1105,21534,22
21214,2007,461,8848,22
21215,2007,1797,35974,22
21216,2007,1156,21496,22
21217,2007,1423,28013,22
21218,2007,1190,23371,22
21220,2007,2,859,21
21221,2007,1,983,20
21222,2007,52,1191,22
21223,2007,1010,21097,22
21224,2007,1209,29338,22
21225,2007,678,15487,22
21226,2007,76,1809,22
21227,2007,7,397,22
21228,2007,7,925,22
21229,2007,1006,22830,22
21230,2007,753,16989,22
21231,2007,389,8284,22
21233,2007,4,52,18
21234,2007,227,4075,22
21236,2007,5,885,22
21237,2007,4,348,21
21239,2007,550,11056,22
21244,2007,1,411,21
21251,2007,1,20,17
21273,2007,1,14,13
21278,2007,1,13,9
21287,2007,2,1494,21
21201,2008,379,8856,22
21202,2008,438,11635,22
21203,2008,11,201,22
21205,2008,749,14330,22
21206,2008,1154,21819,22
21207,2008,410,6695,22
21208,2008,71,1375,21
21209,2008,311,7609,22
21210,2008,195,3749,22
21211,2008,352,7320,22
21212,2008,586,11612,22
21213,2008,1093,21534,22
21214,2008,507,8848,22
21215,2008,1916,35974,22
21216,2008,1129,21496,22
21217,2008,1430,28013,22
21218,2008,1201,23371,22
21220,2008,28,859,21
21221,2008,22,983,20
21222,2008,55,1191,22
21223,2008,1088,21097,22
21224,2008,1215,29338,22
21225,2008,759,15487,22
21226,2008,96,1809,22
21227,2008,15,397,22
21228,2008,32,925,22
21229,2008,1209,22830,22
21230,2008,839,16989,22
21231,2008,414,8284,22
21233,2008,4,52,18
21234,2008,235,4075,22
21236,2008,19,885,22
21237,2008,19,348,21
21239,2008,562,11056,22
21240,2008,1,17,13
21241,2008,3,10,7
21244,2008,27,411,21
21250,2008,4,23,12
21251,2008,1,20,17
21252,2008,5,14,8
21263,2008,1,8,7
21270,2008,3,11,9
21273,2008,1,14,13
21275,2008,4,20,14
21280,2008,1,10,7
21282,2008,1,6,5
21285,2008,2,10,5
21286,2008,1,79,18
21287,2008,2,1494,21
21201,2009,391,8856,22
21202,2009,440,11635,22
21203,2009,13,201,22
21205,2009,726,14330,22
21206,2009,1198,21819,22
21207,2009,378,6695,22
21208,2009,98,1375,21
21209,2009,368,7609,22
21210,2009,184,3749,22
21211,2009,348,7320,22
21212,2009,580,11612,22
21213,2009,1187,21534,22
21214,2009,491,8848,22
21215,2009,1894,35974,22
21216,2009,1112,21496,22
21217,2009,1433,28013,22
